time,USD bal,BTC bal,BTC bid,BTC ask,BTC diff,LTC bid,LTC ask,LTC diff,DOGE bid,DOGE ask,DOGE diff
Sat Jan 17 08:55:01 2015 , 7.94267807162 , 0.0397133903581 , 200.00000 , 212.00000 , -0.13490201 , 145.00001 , 150.99999 , 0.0 , 1480000.00000 , 1493000.00000 , 258430.79253 
Sat Jan 17 15:02:05 2015 , 8.93117356066 , 0.0446558678033 , 200.00000 , 212.00000 , -0.13284778 , 151.15100 , 153.56308 , 0.0 , 1439000.30000 , 1471000.00000 , 255427.80244 
Sat Jan 17 18:05:41 2015 , 8.93576778575 , 0.0446788389287 , 200.00000 , 212.00000 , -0.13284778 , 148.60101 , 151.72768 , 0.0 , 1438814.10000 , 1471000.00000 , 255427.80244 
Sat Jan 17 21:09:17 2015 , 8.77201984108 , 0.0446788389287 , 196.33500 , 199.69999 , -0.13284778 , 152.33450 , 155.14999 , 0.0 , 1438814.10000 , 1471000.00000 , 255427.80244 
Sun Jan 18 00:12:53 2015 , 8.72175614728 , 0.0446788389287 , 195.21000 , 199.49594 , -0.13284778 , 153.98580 , 155.67500 , 0.0 , 1438814.10000 , 1471000.00000 , 255427.80244 
Sun Jan 18 03:16:30 2015 , 8.72175614728 , 0.0446788389287 , 195.21000 , 199.49585 , -0.13284778 , 152.51101 , 155.10000 , 0.0 , 1438814.10000 , 1471000.00000 , 255427.80244 
Sun Jan 18 06:20:06 2015 , 9.00868817857 , 0.0428985151361 , 210.00000 , 218.98395 , -0.13284778 , 155.49634 , 157.80000 , 0.0 , 1453389.40000 , 1470999.90000 , 255427.80244 
Sun Jan 18 09:23:41 2015 , 8.65230934552 , 0.0431944484713 , 200.31068 , 219.99727 , -0.13284778 , 156.62815 , 157.80000 , 0.0 , 1450946.20000 , 1472058.80000 , 255427.80244 
Sun Jan 18 12:27:17 2015 , 7.38830164778 , 0.0369174970988 , 200.13008 , 209.00000 , -0.13886002 , 155.51175 , 158.00000 , 0.0 , 1504536.70000 , 1550011.30000 , 264463.72551 
Sun Jan 18 15:30:54 2015 , 7.66377055989 , 0.0382728641259 , 200.24032 , 219.99437 , -0.13753137 , 155.51096 , 157.82499 , 0.0 , 1493000.00000 , 1525921.80000 , 262475.72155 
