Timestamp, net profit USD, net profit BTC, BTC/USD, differential BTC , LTC/BTC, differential LTC,  DOGE/BTC, differential DOGE , TIPS/LTC, differential TIPS , MOON/LTC , differential MOON
Wed Dec 17 22:04:15 2014 , 13.1292982346 , 0.0409803927668 , 320.38 , -0.03533261 , 0.0093 , 0 , 5.6e-07 , 136273.219226 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 18 01:07:51 2014 , 13.4305752036 , 0.0423503774591 , 317.13 , -0.03501589 , 0.009205 , 0 , 5.7e-07 , 135730.293788 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 18 04:11:25 2014 , 13.7300034391 , 0.043710812897 , 314.11 , -0.03469571 , 0.0090367 , 0 , 5.8e-07 , 135183.660167 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 18 07:14:59 2014 , 13.3051350015 , 0.0423582025453 , 314.11 , -0.03501195 , 0.00901988 , 0 , 5.7e-07 , 135737.109729 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 18 10:18:35 2014 , 12.8785324425 , 0.041000071448 , 314.11 , -0.03532269 , 0.00908995 , 0 , 5.6e-07 , 136290.645443 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 18 13:22:11 2014 , 13.3076295397 , 0.0423661441524 , 314.11 , -0.03500799 , 0.00904594 , 0 , 5.7e-07 , 135744.095004 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 18 16:25:46 2014 , 13.3076295397 , 0.0423661441524 , 314.11 , -0.03500799 , 0.00900791 , 0 , 5.7e-07 , 135744.095004 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 18 19:29:20 2014 , 12.8789690364 , 0.0410158249568 , 314.0 , -0.03531476 , 0.00903489 , 0 , 5.6e-07 , 136304.615994 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 18 22:32:55 2014 , 13.3079814328 , 0.0423821064739 , 314.0 , -0.03500004 , 0.00896474 , 0 , 5.7e-07 , 135758.151709 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 19 01:36:28 2014 , 12.8814621964 , 0.0410237649568 , 314.0 , -0.03531078 , 0.0089993 , 0 , 5.6e-07 , 136311.687423 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 19 04:40:01 2014 , 13.6490419887 , 0.0437469294509 , 312.0 , -0.03467785 , 0.00899997 , 0 , 5.8e-07 , 135215.136984 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 19 07:43:36 2014 , 14.8051159395 , 0.0478000708344 , 309.73 , -0.03368254 , 0.00900895 , 0 , 6.1e-07 , 133578.050548 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 19 10:47:12 2014 , 15.2232907302 , 0.0491501976891 , 309.73 , -0.03333474 , 0.00919974 , 0 , 6.2e-07 , 133040.222079 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 19 13:50:53 2014 , 14.445533227 , 0.0464860280836 , 310.75 , -0.03400379 , 0.0090292 , 0 , 6e-07 , 134149.696806 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 19 16:54:29 2014 , 14.8633391557 , 0.0478305363016 , 310.75 , -0.03366719 , 0.00906632 , 0 , 6.1e-07 , 133602.830003 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 19 19:58:08 2014 , 14.8645297167 , 0.0478343675516 , 310.75 , -0.03366527 , 0.00909649 , 0 , 6.1e-07 , 133605.963199 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 19 23:01:46 2014 , 15.695076553 , 0.0505070846435 , 310.75 , -0.03297562 , 0.00908319 , 0 , 6.3e-07 , 132512.229593 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 20 02:05:19 2014 , 16.3223910557 , 0.0518352156491 , 314.89 , -0.03262257 , 0.00904999 , 0 , 6.4e-07 , 131965.290077 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 20 05:08:58 2014 , 16.0330736744 , 0.0505185546032 , 317.37 , -0.03296989 , 0.00900056 , 0 , 6.3e-07 , 132521.34064 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 20 08:12:33 2014 , 16.1178534801 , 0.050526186458 , 319.0 , -0.03296607 , 0.00900002 , 0 , 6.3e-07 , 132527.391203 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 20 11:17:56 2014 , 16.1431165733 , 0.050526186458 , 319.5 , -0.03296607 , 0.00896899 , 0 , 6.3e-07 , 132527.391203 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 20 14:21:30 2014 , 15.7206564746 , 0.0492039326279 , 319.5 , -0.03330789 , 0.00897308 , 0 , 6.2e-07 , 133083.584884 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 20 17:25:06 2014 , 16.5699786435 , 0.0518622179764 , 319.5 , -0.03260919 , 0.00899917 , 0 , 6.4e-07 , 131986.574963 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 20 20:28:40 2014 , 15.7872736133 , 0.0492152678263 , 320.78 , -0.03330216 , 0.00891002 , 0 , 6.2e-07 , 133092.625526 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 20 23:32:16 2014 , 15.4673953385 , 0.0478911209662 , 322.97 , -0.03363657 , 0.00892687 , 0 , 6.1e-07 , 133651.952404 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 21 02:35:52 2014 , 14.9903224544 , 0.0465537964422 , 322.0 , -0.0339693 , 0.00888789 , 0 , 6e-07 , 134205.160737 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 21 05:39:27 2014 , 14.9915852129 , 0.0465577180524 , 322.0 , -0.03396735 , 0.00886956 , 0 , 6e-07 , 134208.446754 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 21 08:43:01 2014 , 14.9915852129 , 0.0465577180524 , 322.0 , -0.03396735 , 0.00889905 , 0 , 6e-07 , 134208.446754 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 21 11:46:42 2014 , 15.4002755989 , 0.0479028137699 , 321.49 , -0.03363075 , 0.00884999 , 0 , 6.1e-07 , 133661.579951 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 21 14:50:19 2014 , 15.4002755989 , 0.0479028137699 , 321.49 , -0.03363075 , 0.00879994 , 0 , 6.1e-07 , 133661.579951 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 21 17:53:59 2014 , 15.4002755989 , 0.0479028137699 , 321.49 , -0.03363075 , 0.00881697 , 0 , 6.1e-07 , 133661.579951 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 21 20:57:35 2014 , 14.9260487208 , 0.0465740411907 , 320.48 , -0.03362685 , 0.0088954 , 0 , 6e-07 , 133668.151985 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 22 00:01:09 2014 , 14.8375580425 , 0.0465740411907 , 318.58 , -0.03362685 , 0.00886435 , 0 , 6e-07 , 133668.151985 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 22 03:04:43 2014 , 15.0694967677 , 0.0465740411907 , 323.56 , -0.03362685 , 0.00872906 , 0 , 6e-07 , 133668.151985 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 22 06:08:27 2014 , 15.116555365 , 0.0467122628009 , 323.61 , -0.0334906 , 0.00869156 , 0 , 6e-07 , 133671.438002 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 22 09:12:34 2014 , 14.68499895 , 0.0453786933347 , 323.61 , -0.03381588 , 0.00864997 , 0 , 5.9e-07 , 134228.090398 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 22 12:16:08 2014 , 14.252922917 , 0.0440435181763 , 323.61 , -0.03413368 , 0.00856596 , 0 , 5.8e-07 , 134788.272718 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 22 15:19:46 2014 , 14.6888523584 , 0.0453906009035 , 323.61 , -0.03380998 , 0.00865309 , 0 , 5.9e-07 , 134238.272718 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 22 18:23:21 2014 , 14.7150963773 , 0.0453945470673 , 324.16 , -0.03380802 , 0.00869192 , 0 , 5.9e-07 , 134241.639097 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 22 21:26:55 2014 , 14.719635832 , 0.0453945470673 , 324.26 , -0.03380802 , 0.00869997 , 0 , 5.9e-07 , 134241.639097 , 1.2e-07 , 0 , 1.8e-07 , 0 
