Timestamp, net profit USD, net profit BTC, BTC/USD, differential BTC , LTC/BTC, differential LTC,  DOGE/BTC, differential DOGE , TIPS/LTC, differential TIPS , MOON/LTC , differential MOON
Wed Mar 19 21:23:01 2014 , -7.0032297204 , -0.011413347002 , 613.6 , -0.04757694 , 0.02802884 , 0.10324331 , 1.28e-06 , 25287.5389319 , 1.1e-07 , 50490.2839732 , 1.8e-07 , 147879.965013 
Wed Mar 19 21:25:57 2014 , -7.01764435291 , -0.0114368389063 , 613.6 , -0.04757694 , 0.02785536 , 0.10324331 , 1.28e-06 , 25287.5389319 , 1.1e-07 , 50490.2839732 , 1.8e-07 , 147879.965013 
Wed Mar 19 23:00:37 2014 , -7.14437524185 , -0.011645463238 , 613.49 , -0.04821357 , 0.0280878 , 0.10491827 , 1.27e-06 , 25787.8263335 , 1.2e-07 , 36490.2839732 , 1.8e-07 , 147879.965013 
Thu Mar 20 00:39:41 2014 , -7.12727252102 , -0.0116352235226 , 612.56 , -0.04821211 , 0.02814678 , 0.10492851 , 1.27e-06 , 25788.1199843 , 1.2e-07 , 36490.2839732 , 1.8e-07 , 147900.148837 
Thu Mar 20 02:17:49 2014 , -7.26011239043 , -0.0119311625151 , 608.5 , -0.0488408 , 0.0278221 , 0.10502672 , 1.26e-06 , 26289.0072858 , 1.2e-07 , 36764.4506399 , 1.8e-07 , 147900.148837 
Thu Mar 20 02:47:04 2014 , -7.08948496531 , -0.0116509473702 , 608.49 , -0.04820625 , 0.02795 , 0.10502672 , 1.27e-06 , 25789.3009366 , 1.2e-07 , 36764.4506399 , 1.8e-07 , 147900.148837 
Thu Mar 20 03:57:29 2014 , -7.23702632525 , -0.0119030038244 , 608.0 , -0.04883788 , 0.02831 , 0.10476777 , 1.26e-06 , 26289.5945874 , 1.2e-07 , 36764.4506399 , 1.7e-07 , 149420.332661 
Thu Mar 20 05:47:25 2014 , -7.43368116267 , -0.0122334915867 , 607.65 , -0.04946007 , 0.02841 , 0.10429559 , 1.25e-06 , 26790.7946898 , 1.2e-07 , 36764.4506399 , 1.5e-07 , 152460.395161 
Thu Mar 20 07:26:07 2014 , -7.21820584104 , -0.012025733204 , 600.23 , -0.04882743 , 0.02799989 , 0.10272971 , 1.26e-06 , 26291.7206012 , 1.1e-07 , 51065.1324581 , 1.5e-07 , 152483.520161 
Thu Mar 20 09:03:00 2014 , -7.38203958066 , -0.012332380395 , 598.59 , -0.04945406 , 0.02789003 , 0.1042018 , 1.25e-06 , 26792.0206012 , 1.2e-07 , 37065.1324581 , 1.4e-07 , 154026.573732 
Thu Mar 20 10:40:28 2014 , -7.56112021529 , -0.0126326063676 , 598.54 , -0.0500727 , 0.02730001 , 0.10442612 , 1.24e-06 , 27292.9335044 , 1.2e-07 , 37065.1324581 , 1.5e-07 , 152526.573732 
Thu Mar 20 12:17:07 2014 , -7.69513742263 , -0.0128565132199 , 598.54 , -0.05127697 , 0.02713998 , 0.1046654 , 1.23e-06 , 28295.3731484 , 1.2e-07 , 37065.1324581 , 1.6e-07 , 151026.573732 
Thu Mar 20 14:09:43 2014 , -7.48915168758 , -0.0125375024066 , 597.34 , -0.05004109 , 0.02742987 , 0.10467569 , 1.24e-06 , 27296.3121728 , 1.2e-07 , 37065.1324581 , 1.6e-07 , 151048.136232 
